"Prijscomponenten";"Belastingen";"Perioden";"Aardgasprijs/Verbruiksklassen huishoudens/Minder dan 569 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen huishoudens/569 tot 5 687 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen huishoudens/5 687 m3 en meer (euro per m3)";"Aardgasprijs/Verbruiksklassen niet-huishoudens/Minder dan 28 433 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen niet-huishoudens/28 433 tot 284 333 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen niet-huishoudens/284 333 tot 2 843 332 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen niet-huishoudens/2 843 332 tot 28 433 324 m3 (euro per m3)";"Aardgasprijs/Verbruiksklassen niet-huishoudens/28 433 324 m3 en meer (euro per m3)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/Minder dan 1 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/1 tot 2,5 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/2,5 tot 5 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/5 tot 15 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen huishoudens/15 MWh en meer (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/Minder dan 20 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/20 tot 500 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/500 tot 2 000 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/2 000 tot 20 000 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/20 000 tot 70 000 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/70 000 tot 150 000 MWh (euro per kWh)";"Elektriciteitsprijs /Verbruiksklassen niet-huishoudens/150 000 MWh en meer (euro per kWh)"
"Leveringsprijs";"Inclusief btw en belastingen";"2015 2e halfjaar";"   0.869";"   0.658";"   0.620";"   0.637";"   0.627";"   0.366";"   0.298";"   0.252";"  -0.389";"   0.019";"   0.118";"   0.169";"   0.119";"   0.153";"   0.092";"   0.079";"   0.076";"   0.058";"   0.058";"   0.056"
"Leveringsprijs";"Inclusief btw en belastingen";"2015";"   0.816";"   0.663";"   0.631";"   0.646";"   0.616";"   0.418";"   0.326";"   0.270";"  -0.354";"   0.029";"   0.126";"   0.174";"   0.138";"   0.155";"   0.115";"   0.082";"   0.077";"   0.062";"   0.060";"   0.057"
"Leveringsprijs";"Inclusief btw en belastingen";"2016 1e halfjaar";"   0.822";"   0.694";"   0.667";"   0.684";"   0.644";"   0.440";"   0.290";"   0.201";"  -0.402";"  -0.003";"   0.095";"   0.145";"   0.162";"   0.123";"   0.135";"   0.082";"   0.072";"   0.060";"   0.056";"   0.050"
"Leveringsprijs";"Inclusief btw en belastingen";"2016 2e halfjaar";"   0.857";"   0.672";"   0.642";"   0.671";"   0.625";"   0.325";"   0.270";"   0.205";"  -0.394";"  -0.004";"   0.093";"   0.143";"   0.121";"   0.115";"   0.091";"   0.075";"   0.072";"   0.052";"   0.053";"   0.051"
"Leveringsprijs";"Inclusief btw en belastingen";"2016";"   0.836";"   0.685";"   0.657";"   0.678";"   0.636";"   0.394";"   0.281";"   0.203";"  -0.398";"  -0.003";"   0.094";"   0.144";"   0.141";"   0.119";"   0.113";"   0.079";"   0.072";"   0.056";"   0.054";"   0.050"
"Leveringsprijs";"Inclusief btw en belastingen";"2017 1e halfjaar";"   0.795";"   0.664";"   0.621";"   0.660";"   0.615";"   0.418";"   0.285";"   0.231";"  -0.400";"  -0.006";"   0.092";"   0.143";"   0.157";"   0.129";"   0.135";"   0.077";"   0.070";"   0.059";"   0.052";"   0.049"
"Leveringsprijs";"Inclusief btw en belastingen";"2017 2e halfjaar";"   0.875";"   0.678";"   0.625";"   0.652";"   0.600";"   0.302";"   0.254";"   0.222";"  -0.405";"  -0.008";"   0.091";"   0.142";"   0.119";"   0.134";"   0.083";"   0.070";"   0.068";"   0.047";"   0.047";"   0.048"
"Leveringsprijs";"Inclusief btw en belastingen";"2017";"   0.827";"   0.670";"   0.623";"   0.656";"   0.609";"   0.366";"   0.270";"   0.226";"  -0.403";"  -0.007";"   0.091";"   0.142";"   0.138";"   0.131";"   0.110";"   0.073";"   0.069";"   0.053";"   0.049";"   0.048"
"Leveringsprijs";"Inclusief btw en belastingen";"2018 1e halfjaar";"   0.832";"   0.703";"   0.676";"   0.660";"   0.633";"   0.439";"   0.297";"   0.255";"  -0.364";"   0.009";"   0.104";"   0.154";"   0.171";"   0.089";"   0.144";"   0.082";"   0.072";"   0.062";"   0.053";"   0.049"
"Leveringsprijs";"Inclusief btw en belastingen";"2018 2e halfjaar";"   0.942";"   0.715";"   0.662";"   0.678";"   0.615";"   0.335";"   0.280";"   0.293";"  -0.394";"   0.005";"   0.104";"   0.157";"   0.135";"   0.123";"   0.100";"   0.076";"   0.075";"   0.054";"   0.056";"   0.054"
"Leveringsprijs";"Inclusief btw en belastingen";"2018";"   0.876";"   0.708";"   0.670";"   0.667";"   0.625";"   0.393";"   0.289";"   0.283";"  -0.380";"   0.007";"   0.104";"   0.155";"   0.153";"   0.096";"   0.122";"   0.079";"   0.074";"   0.058";"   0.055";"   0.052"
"Leveringsprijs";"Inclusief btw en belastingen";"2019 1e halfjaar";"   0.970";"   0.815";"   0.788";"   0.778";"   0.714";"   0.443";"   0.296";"   0.252";"  -0.222";"   0.065";"   0.137";"   0.180";"   0.196";"   0.144";"   0.134";"   0.091";"   0.085";"   0.070";"   0.064";"   0.058"
"Leveringsprijs";"Inclusief btw en belastingen";"2019 2e halfjaar";"   1.050";"   0.815";"   0.762";"   0.755";"   0.651";"   0.320";"   0.234";"   0.178";"  -0.207";"   0.065";"   0.136";"   0.179";"   0.166";"   0.125";"   0.098";"   0.086";"   0.084";"   0.057";"   0.056";"   0.056"
"Leveringsprijs";"Inclusief btw en belastingen";"2019";"   1.005";"   0.815";"   0.777";"   0.768";"   0.683";"   0.392";"   0.267";"   0.222";"  -0.215";"   0.065";"   0.137";"   0.180";"   0.181";"   0.135";"   0.116";"   0.088";"   0.084";"   0.063";"   0.060";"   0.057"
"Leveringsprijs";"Inclusief btw en belastingen";"2020 1e halfjaar";"   1.035";"   0.878";"   0.844";"   0.838";"   0.763";"   0.447";"   0.272";"   0.211";"  -0.535";"  -0.060";"   0.072";"   0.153";"   0.192";"   0.159";"   0.145";"   0.106";"   0.099";"   0.075";"   0.066";"   0.059"
"Leveringsprijs";"Inclusief btw en belastingen";"2020 2e halfjaar";"   1.102";"   0.852";"   0.799";"   0.802";"   0.763";"   0.311";"   0.240";"   0.205";"  -0.577";"  -0.073";"   0.064";"   0.147";"   0.162";"   0.159";"   0.107";"   0.101";"   0.099";"   0.060";"   0.062";"   0.058"
"Leveringsprijs";"Inclusief btw en belastingen";"2020";"   1.061";"   0.867";"   0.826";"   0.818";"   0.763";"   0.371";"   0.257";"   0.208";"  -0.555";"  -0.066";"   0.068";"   0.150";"   0.178";"   0.159";"   0.121";"   0.103";"   0.099";"   0.069";"   0.064";"   0.059"
"Leveringsprijs";"Inclusief btw en belastingen";"2021 1e halfjaar";"   0.994";"   0.843";"   0.804";"   0.819";"   0.776";"   0.470";"   0.316";"   0.287";"  -0.595";"  -0.089";"   0.052";"   0.140";"   0.185";"   0.154";"   0.148";"   0.110";"   0.105";"   0.080";"   0.064";"   0.061"
"Leveringsprijs";"Inclusief btw en belastingen";"2021 2e halfjaar";"   1.190";"   0.931";"   0.877";"   0.857";"   0.837";"   0.507";"   0.489";"   0.597";"  -0.593";"  -0.075";"   0.068";"   0.155";"   0.176";"   0.162";"   0.125";"   0.124";"   0.132";"   0.087";"   0.075";"   0.107"
"Leveringsprijs";"Inclusief btw en belastingen";"2021";"   1.065";"   0.876";"   0.833";"   0.835";"   0.805";"   0.488";"   0.392";"   0.422";"  -0.594";"  -0.082";"   0.060";"   0.148";"   0.180";"   0.158";"   0.136";"   0.117";"   0.119";"   0.084";"   0.069";"   0.085"
"Leveringsprijs";"Inclusief btw en belastingen";"2022 1e halfjaar";"   1.293";"   1.165";"   1.136";"   1.148";"   1.030";"   0.887";"   0.745";"   0.946";"  -1.031";"  -0.258";"  -0.032";"   0.109";"   0.203";"   0.121";"   0.199";"   0.180";"   0.185";"   0.166";"   0.153";"   0.163"
"Leveringsprijs";"Inclusief btw en belastingen";"2022 2e halfjaar";"   1.737";"   1.812";"   1.656";"   1.632";"   1.061";"   0.706";"   0.788";"   1.178";"  -0.783";"  -0.114";"   0.093";"   0.222";"   0.325";"   0.231";"   0.197";"   0.171";"   0.206";"   0.160";"   0.153";"   0.174"
"Leveringsprijs";"Inclusief btw en belastingen";"2022";"   1.488";"   1.408";"   1.313";"   1.300";"   1.041";"   0.814";"   0.762";"   1.041";"  -0.899";"  -0.186";"   0.029";"   0.164";"   0.262";"   0.180";"   0.198";"   0.175";"   0.196";"   0.163";"   0.153";"   0.168"
"Leveringsprijs";"Inclusief btw en belastingen";"2023 1e halfjaar";"   1.653";"   1.795";"   2.083";"   1.820";"   1.546";"   1.005";"   0.941";"   0.807";"  -0.450";"   0.066";"   0.270";"   0.427";"   0.538";"   0.413";"   0.297";"   0.249";"   0.267";"   0.237";"   0.257";"   0.236"
"Leveringsprijs";"Inclusief btw en belastingen";"2023 2e halfjaar*";"   1.518";"   1.344";"   1.295";"   1.423";"   1.401";"   0.735";"   0.693";"   0.540";"  -0.457";"   0.005";"   0.162";"   0.258";"   0.286";"   0.269";"   0.233";"   0.216";"   0.241";"   0.189";"   0.259";"   0.211"
"Leveringsprijs";"Inclusief btw en belastingen";"2023*";"   1.595";"   1.617";"   1.752";"   1.639";"   1.487";"   0.896";"   0.824";"   0.671";"  -0.453";"   0.034";"   0.215";"   0.340";"   0.412";"   0.342";"   0.266";"   0.232";"   0.254";"   0.211";"   0.258";"   0.221"
"Leveringsprijs";"Inclusief btw en belastingen";"2024 1e halfjaar*";"   1.555";"   1.435";"   1.373";"   1.470";"   1.409";"   0.831";"   0.717";"   0.526";"  -0.536";"  -0.020";"   0.143";"   0.239";"   0.290";"   0.242";"   0.257";"   0.194";"   0.186";"   0.165";"   0.194";"   0.135"
"Netwerkprijs";"Inclusief btw en belastingen";"2009 1e halfjaar";"   0.264";"   0.075";"   0.035";"   0.055";"   0.041";"   0.016";"   0.010";"   0.008";"   0.264";"   0.105";"   0.060";"   0.028";"   0.061";"   0.034";"   0.030";"   0.023";"   0.018";"   0.014";"   0.012";"   0.010"
"Netwerkprijs";"Inclusief btw en belastingen";"2009 2e halfjaar";"   0.376";"   0.107";"   0.050";"   0.087";"   0.067";"   0.022";"   0.018";"   0.014";"   0.268";"   0.107";"   0.061";"   0.028";"   0.062";"   0.034";"   0.030";"   0.023";"   0.018";"   0.014";"   0.012";"   0.010"
"Netwerkprijs";"Inclusief btw en belastingen";"2009";"   0.310";"   0.088";"   0.041";"   0.068";"   0.052";"   0.019";"   0.014";"   0.010";"   0.266";"   0.106";"   0.061";"   0.028";"   0.062";"   0.034";"   0.030";"   0.023";"   0.018";"   0.014";"   0.012";"   0.010"
"Netwerkprijs";"Inclusief btw en belastingen";"2010 1e halfjaar";"   0.273";"   0.078";"   0.033";"   0.050";"   0.039";"   0.015";"   0.010";"   0.008";"   0.253";"   0.101";"   0.058";"   0.026";"   0.063";"   0.038";"   0.030";"   0.022";"   0.018";"   0.014";"   0.012";"   0.009"
"Netwerkprijs";"Inclusief btw en belastingen";"2010 2e halfjaar";"   0.366";"   0.105";"   0.045";"   0.075";"   0.060";"   0.018";"   0.014";"   0.010";"   0.258";"   0.103";"   0.059";"   0.027";"   0.065";"   0.038";"   0.030";"   0.022";"   0.018";"   0.014";"   0.012";"   0.009"
"Netwerkprijs";"Inclusief btw en belastingen";"2010";"   0.313";"   0.089";"   0.038";"   0.060";"   0.048";"   0.016";"   0.012";"   0.009";"   0.255";"   0.102";"   0.058";"   0.027";"   0.064";"   0.038";"   0.030";"   0.022";"   0.018";"   0.014";"   0.012";"   0.009"
"Netwerkprijs";"Inclusief btw en belastingen";"2011 1e halfjaar";"   0.268";"   0.078";"   0.034";"   0.044";"   0.040";"   0.016";"   0.012";"   0.009";"   0.274";"   0.110";"   0.063";"   0.029";"   0.071";"   0.036";"   0.031";"   0.023";"   0.018";"   0.015";"   0.014";"   0.010"
"Netwerkprijs";"Inclusief btw en belastingen";"2011 2e halfjaar";"   0.375";"   0.109";"   0.048";"   0.077";"   0.045";"   0.018";"   0.015";"   0.010";"   0.271";"   0.109";"   0.063";"   0.029";"   0.070";"   0.039";"   0.032";"   0.024";"   0.019";"   0.015";"   0.014";"   0.010"
"Netwerkprijs";"Inclusief btw en belastingen";"2011";"   0.313";"   0.091";"   0.040";"   0.059";"   0.042";"   0.017";"   0.013";"   0.009";"   0.272";"   0.110";"   0.063";"   0.029";"   0.071";"   0.037";"   0.032";"   0.024";"   0.019";"   0.015";"   0.014";"   0.010"
"Netwerkprijs";"Inclusief btw en belastingen";"2012 1e halfjaar";"   0.268";"   0.079";"   0.036";"   0.061";"   0.043";"   0.017";"   0.013";"   0.005";"   0.290";"   0.115";"   0.066";"   0.030";"   0.076";"   0.045";"   0.035";"   0.026";"   0.020";"   0.016";"   0.015";"   0.010"
"Netwerkprijs";"Inclusief btw en belastingen";"2012 2e halfjaar";"   0.401";"   0.118";"   0.054";"   0.082";"   0.050";"   0.022";"   0.018";"   0.006";"   0.311";"   0.124";"   0.071";"   0.032";"   0.082";"   0.047";"   0.036";"   0.026";"   0.021";"   0.016";"   0.016";"   0.010"
"Netwerkprijs";"Inclusief btw en belastingen";"2012";"   0.321";"   0.094";"   0.043";"   0.069";"   0.046";"   0.019";"   0.015";"   0.005";"   0.300";"   0.120";"   0.068";"   0.031";"   0.079";"   0.046";"   0.035";"   0.026";"   0.020";"   0.016";"   0.016";"   0.010"
"Netwerkprijs";"Inclusief btw en belastingen";"2013 1e halfjaar";"   0.252";"   0.075";"   0.036";"   0.072";"   0.047";"   0.013";"   0.022";"   0.008";"   0.314";"   0.125";"   0.071";"   0.032";"   0.084";"   0.038";"   0.032";"   0.026";"   0.023";"   0.020";"   0.020";"   0.020"
"Netwerkprijs";"Inclusief btw en belastingen";"2013 2e halfjaar";"   0.478";"   0.143";"   0.068";"   0.091";"   0.051";"   0.014";"   0.025";"   0.008";"   0.328";"   0.130";"   0.074";"   0.033";"   0.088";"   0.042";"   0.033";"   0.028";"   0.023";"   0.023";"   0.024";"   0.024"
"Netwerkprijs";"Inclusief btw en belastingen";"2013";"   0.330";"   0.099";"   0.047";"   0.080";"   0.049";"   0.014";"   0.023";"   0.008";"   0.321";"   0.127";"   0.072";"   0.033";"   0.086";"   0.040";"   0.032";"   0.027";"   0.023";"   0.022";"   0.022";"   0.022"
"Netwerkprijs";"Inclusief btw en belastingen";"2014 1e halfjaar";"   0.287";"   0.085";"   0.039";"   0.073";"   0.046";"   0.012";"   0.014";"   0.014";"   0.303";"   0.121";"   0.069";"   0.031";"   0.084";"   0.052";"   0.036";"   0.025";"   0.022";"   0.020";"   0.025";"   0.022"
"Netwerkprijs";"Inclusief btw en belastingen";"2014 2e halfjaar";"   0.378";"   0.111";"   0.051";"   0.083";"   0.046";"   0.014";"   0.015";"   0.014";"   0.309";"   0.123";"   0.070";"   0.032";"   0.085";"   0.045";"   0.038";"   0.026";"   0.023";"   0.021";"   0.026";"   0.023"
"Netwerkprijs";"Inclusief btw en belastingen";"2014";"   0.326";"   0.096";"   0.044";"   0.077";"   0.046";"   0.013";"   0.014";"   0.014";"   0.306";"   0.122";"   0.070";"   0.032";"   0.084";"   0.048";"   0.037";"   0.026";"   0.023";"   0.021";"   0.025";"   0.022"
"Netwerkprijs";"Inclusief btw en belastingen";"2015 1e halfjaar";"   0.254";"   0.073";"   0.033";"   0.063";"   0.039";"   0.012";"   0.012";"   0.012";"   0.296";"   0.117";"   0.067";"   0.031";"   0.080";"   0.062";"   0.036";"   0.024";"   0.021";"   0.019";"   0.024";"   0.022"
"Netwerkprijs";"Inclusief btw en belastingen";"2015 2e halfjaar";"   0.443";"   0.126";"   0.058";"   0.082";"   0.043";"   0.013";"   0.014";"   0.013";"   0.293";"   0.116";"   0.066";"   0.030";"   0.079";"   0.061";"   0.036";"   0.024";"   0.021";"   0.019";"   0.023";"   0.022"
"Netwerkprijs";"Inclusief btw en belastingen";"2015";"   0.323";"   0.092";"   0.042";"   0.071";"   0.041";"   0.012";"   0.013";"   0.013";"   0.294";"   0.117";"   0.066";"   0.030";"   0.080";"   0.062";"   0.036";"   0.024";"   0.021";"   0.019";"   0.024";"   0.022"
"Netwerkprijs";"Inclusief btw en belastingen";"2016 1e halfjaar";"   0.241";"   0.068";"   0.031";"   0.066";"   0.040";"   0.013";"   0.013";"   0.013";"   0.292";"   0.117";"   0.067";"   0.030";"   0.081";"   0.066";"   0.033";"   0.023";"   0.021";"   0.019";"   0.018";"   0.020"
"Netwerkprijs";"Inclusief btw en belastingen";"2016 2e halfjaar";"   0.420";"   0.118";"   0.054";"   0.080";"   0.042";"   0.015";"   0.016";"   0.015";"   0.288";"   0.116";"   0.066";"   0.030";"   0.081";"   0.064";"   0.032";"   0.022";"   0.021";"   0.019";"   0.018";"   0.020"
"Netwerkprijs";"Inclusief btw en belastingen";"2016";"   0.306";"   0.086";"   0.039";"   0.071";"   0.040";"   0.013";"   0.014";"   0.014";"   0.290";"   0.116";"   0.066";"   0.030";"   0.081";"   0.065";"   0.032";"   0.023";"   0.021";"   0.019";"   0.018";"   0.020"
"Netwerkprijs";"Inclusief btw en belastingen";"2017 1e halfjaar";"   0.317";"   0.082";"   0.038";"   0.078";"   0.040";"   0.014";"   0.015";"   0.016";"   0.283";"   0.112";"   0.064";"   0.030";"   0.068";"   0.067";"   0.030";"   0.023";"   0.024";"   0.015";"   0.015";"   0.017"
"Netwerkprijs";"Inclusief btw en belastingen";"2017 2e halfjaar";"   0.453";"   0.117";"   0.055";"   0.091";"   0.045";"   0.016";"   0.017";"   0.016";"   0.287";"   0.113";"   0.065";"   0.031";"   0.069";"   0.065";"   0.030";"   0.022";"   0.024";"   0.016";"   0.015";"   0.017"
"Netwerkprijs";"Inclusief btw en belastingen";"2017";"   0.373";"   0.096";"   0.045";"   0.083";"   0.042";"   0.015";"   0.016";"   0.016";"   0.285";"   0.113";"   0.065";"   0.030";"   0.069";"   0.066";"   0.030";"   0.022";"   0.024";"   0.016";"   0.015";"   0.017"
"Netwerkprijs";"Inclusief btw en belastingen";"2018 1e halfjaar";"   0.323";"   0.093";"   0.035";"   0.081";"   0.042";"   0.015";"   0.013";"   0.014";"   0.338";"   0.117";"   0.067";"   0.031";"   0.069";"   0.077";"   0.029";"   0.023";"   0.022";"   0.015";"   0.015";"   0.016"
"Netwerkprijs";"Inclusief btw en belastingen";"2018 2e halfjaar";"   0.394";"   0.111";"   0.043";"   0.099";"   0.049";"   0.016";"   0.016";"   0.014";"   0.297";"   0.103";"   0.058";"   0.027";"   0.068";"   0.073";"   0.027";"   0.022";"   0.021";"   0.015";"   0.015";"   0.015"
"Netwerkprijs";"Inclusief btw en belastingen";"2018";"   0.352";"   0.100";"   0.038";"   0.088";"   0.045";"   0.015";"   0.014";"   0.014";"   0.318";"   0.110";"   0.063";"   0.029";"   0.069";"   0.075";"   0.028";"   0.022";"   0.021";"   0.015";"   0.015";"   0.015"
"Netwerkprijs";"Inclusief btw en belastingen";"2019 1e halfjaar";"   0.302";"   0.087";"   0.033";"   0.064";"   0.040";"   0.014";"   0.012";"   0.012";"   0.300";"   0.116";"   0.068";"   0.031";"   0.071";"   0.078";"   0.031";"   0.023";"   0.020";"   0.015";"   0.012";"   0.015"
"Netwerkprijs";"Inclusief btw en belastingen";"2019 2e halfjaar";"   0.434";"   0.128";"   0.049";"   0.105";"   0.044";"   0.016";"   0.014";"   0.014";"   0.302";"   0.117";"   0.069";"   0.031";"   0.069";"   0.067";"   0.031";"   0.023";"   0.020";"   0.015";"   0.012";"   0.015"
"Netwerkprijs";"Inclusief btw en belastingen";"2019";"   0.371";"   0.107";"   0.040";"   0.078";"   0.042";"   0.015";"   0.013";"   0.013";"   0.301";"   0.117";"   0.069";"   0.031";"   0.070";"   0.072";"   0.031";"   0.023";"   0.020";"   0.015";"   0.012";"   0.015"
"Netwerkprijs";"Inclusief btw en belastingen";"2020 1e halfjaar";"   0.357";"   0.101";"   0.037";"   0.094";"   0.040";"   0.015";"   0.013";"   0.013";"   0.313";"   0.126";"   0.075";"   0.033";"   0.070";"   0.077";"   0.034";"   0.023";"   0.019";"   0.015";"   0.012";"   0.023"
"Netwerkprijs";"Inclusief btw en belastingen";"2020 2e halfjaar";"   0.469";"   0.135";"   0.050";"   0.111";"   0.044";"   0.016";"   0.016";"   0.016";"   0.303";"   0.122";"   0.072";"   0.032";"   0.071";"   0.075";"   0.032";"   0.024";"   0.020";"   0.016";"   0.014";"   0.012"
"Netwerkprijs";"Inclusief btw en belastingen";"2020";"   0.403";"   0.115";"   0.042";"   0.101";"   0.042";"   0.015";"   0.014";"   0.014";"   0.308";"   0.124";"   0.074";"   0.033";"   0.071";"   0.076";"   0.033";"   0.023";"   0.020";"   0.015";"   0.013";"   0.014"
"Netwerkprijs";"Inclusief btw en belastingen";"2021 1e halfjaar";"   0.325";"   0.096";"   0.035";"   0.093";"   0.042";"   0.014";"   0.014";"   0.014";"   0.314";"   0.126";"   0.075";"   0.034";"   0.079";"   0.090";"   0.037";"   0.026";"   0.023";"   0.018";"   0.018";"   0.021"
"Netwerkprijs";"Inclusief btw en belastingen";"2021 2e halfjaar";"   0.475";"   0.141";"   0.052";"   0.119";"   0.046";"   0.015";"   0.015";"   0.017";"   0.321";"   0.129";"   0.077";"   0.035";"   0.081";"   0.096";"   0.036";"   0.026";"   0.022";"   0.018";"   0.019";"   0.020"
"Netwerkprijs";"Inclusief btw en belastingen";"2021";"   0.386";"   0.114";"   0.042";"   0.104";"   0.043";"   0.014";"   0.014";"   0.015";"   0.317";"   0.128";"   0.076";"   0.034";"   0.080";"   0.093";"   0.036";"   0.026";"   0.022";"   0.018";"   0.019";"   0.020"
"Netwerkprijs";"Inclusief btw en belastingen";"2022 1e halfjaar";"   0.371";"   0.100";"   0.037";"   0.113";"   0.042";"   0.013";"   0.013";"   0.020";"   0.379";"   0.154";"   0.091";"   0.040";"   0.060";"   0.104";"   0.040";"   0.028";"   0.025";"   0.021";"   0.019";"   0.022"
"Netwerkprijs";"Inclusief btw en belastingen";"2022 2e halfjaar";"   0.467";"   0.126";"   0.046";"   0.114";"   0.044";"   0.014";"   0.014";"   0.024";"   0.264";"   0.107";"   0.064";"   0.028";"   0.041";"   0.092";"   0.035";"   0.025";"   0.022";"   0.018";"   0.017";"   0.019"
"Netwerkprijs";"Inclusief btw en belastingen";"2022";"   0.411";"   0.111";"   0.040";"   0.114";"   0.043";"   0.013";"   0.013";"   0.022";"   0.314";"   0.128";"   0.076";"   0.033";"   0.049";"   0.098";"   0.037";"   0.027";"   0.024";"   0.020";"   0.018";"   0.020"
"Netwerkprijs";"Inclusief btw en belastingen";"2023 1e halfjaar";"   0.359";"   0.118";"   0.040";"   0.155";"   0.069";"   0.018";"   0.022";"   0.034";"   0.400";"   0.169";"   0.101";"   0.044";"   0.072";"   0.112";"   0.056";"   0.041";"   0.037";"   0.029";"   0.032";"   0.032"
"Netwerkprijs";"Inclusief btw en belastingen";"2023 2e halfjaar*";"   0.595";"   0.196";"   0.066";"   0.167";"   0.073";"   0.020";"   0.021";"   0.037";"   0.412";"   0.174";"   0.104";"   0.045";"   0.075";"   0.110";"   0.053";"   0.035";"   0.037";"   0.028";"   0.032";"   0.026"
"Netwerkprijs";"Inclusief btw en belastingen";"2023*";"   0.448";"   0.147";"   0.050";"   0.162";"   0.071";"   0.019";"   0.021";"   0.035";"   0.406";"   0.172";"   0.102";"   0.044";"   0.073";"   0.111";"   0.055";"   0.037";"   0.037";"   0.028";"   0.032";"   0.029"
"Netwerkprijs";"Inclusief btw en belastingen";"2024 1e halfjaar*";"   0.369";"   0.153";"   0.044";"   0.123";"   0.059";"   0.019";"   0.019";"   0.029";"   0.495";"   0.213";"   0.127";"   0.054";"   0.091";"   0.134";"   0.067";"   0.046";"   0.046";"   0.036";"   0.046";"   0.039"
