"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Total (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of goods (million euros)";"Expenditure approach to GDP/Disposable for final expenditure/Imports of goods and services/Imports of services (million euros)";"Expenditure approach to GDP/Final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/Households including NPISHs (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Final consumption expenditure/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Total (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/Enterprises and households (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Gross fixed capital formation/General government (million euros)";"Expenditure approach to GDP/Final expenditure/National final expenditure/Changes in inventories incl. valuables (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Total (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of goods (million euros)";"Expenditure approach to GDP/Final expenditure/Exports of goods and services/Exports of services (million euros)"
"Current prices";"2004 1st quarter";"  195123";"  129524";"   65599";"   50266";"   15333";"  195123";"  119359";"   92531";"   64370";"   28161";"   26959";"   21904";"    5055";"    -131";"   75764";"   59607";"   16157"
"Current prices";"2004 2nd quarter";"  205613";"  133599";"   72014";"   52429";"   19585";"  205613";"  123492";"   96979";"   65929";"   31050";"   27851";"   22794";"    5057";"   -1338";"   82121";"   63597";"   18524"
"Current prices";"2004 3rd quarter";"  202278";"  129034";"   73244";"   53788";"   19456";"  202278";"  119548";"   94353";"   66029";"   28324";"   24632";"   19621";"    5011";"     563";"   82730";"   64179";"   18551"
"Current prices";"2004 4th quarter";"  217032";"  137129";"   79903";"   57537";"   22366";"  217032";"  125921";"   96899";"   65305";"   31594";"   27962";"   22305";"    5657";"    1060";"   91111";"   68954";"   22157"
"Current prices";"2004";"  820046";"  529286";"  290760";"  214020";"   76740";"  820046";"  488320";"  380762";"  261633";"  119129";"  107404";"   86624";"   20780";"     154";"  331726";"  256337";"   75389"
"Current prices";"2005 1st quarter";"  205739";"  133745";"   71994";"   54995";"   16999";"  205739";"  121420";"   94266";"   65246";"   29020";"   27262";"   22424";"    4838";"    -108";"   84319";"   66321";"   17998"
"Current prices";"2005 2nd quarter";"  217899";"  139040";"   78859";"   57494";"   21365";"  217899";"  127724";"   99377";"   67431";"   31946";"   29242";"   24199";"    5043";"    -895";"   90175";"   69984";"   20191"
"Current prices";"2005 3rd quarter";"  213947";"  134684";"   79263";"   58416";"   20847";"  213947";"  124234";"   97504";"   68266";"   29238";"   26809";"   21741";"    5068";"     -79";"   89713";"   69987";"   19726"
"Current prices";"2005 4th quarter";"  228263";"  143414";"   84849";"   62984";"   21865";"  228263";"  130914";"  100467";"   67936";"   32531";"   29141";"   23476";"    5665";"    1306";"   97349";"   75388";"   21961"
"Current prices";"2005";"  865848";"  550883";"  314965";"  233889";"   81076";"  865848";"  504292";"  391614";"  268879";"  122735";"  112454";"   91840";"   20614";"     224";"  361556";"  281680";"   79876"
"Current prices";"2006 1st quarter";"  224478";"  142446";"   82032";"   64217";"   17815";"  224478";"  128453";"   99231";"   67176";"   32055";"   28981";"   23630";"    5351";"     241";"   96025";"   76694";"   19331"
"Current prices";"2006 2nd quarter";"  234773";"  147405";"   87368";"   65911";"   21457";"  234773";"  134967";"  104830";"   69719";"   35111";"   31283";"   25593";"    5690";"   -1146";"   99806";"   78635";"   21171"
"Current prices";"2006 3rd quarter";"  228830";"  142476";"   86354";"   65078";"   21276";"  228830";"  131512";"  102397";"   69969";"   32428";"   29318";"   23791";"    5527";"    -203";"   97318";"   76961";"   20357"
"Current prices";"2006 4th quarter";"  244802";"  152219";"   92583";"   69025";"   23558";"  244802";"  139401";"  104982";"   69025";"   35957";"   33412";"   27090";"    6322";"    1007";"  105401";"   82640";"   22761"
"Current prices";"2006";"  932883";"  584546";"  348337";"  264231";"   84106";"  932883";"  534333";"  411440";"  275889";"  135551";"  122994";"  100104";"   22890";"    -101";"  398550";"  314930";"   83620"
"Current prices";"2007 1st quarter";"  238550";"  151680";"   86870";"   68351";"   18519";"  238550";"  136564";"  103801";"   69655";"   34146";"   33179";"   27536";"    5643";"    -416";"  101986";"   81808";"   20178"
"Current prices";"2007 2nd quarter";"  248224";"  155664";"   92560";"   70159";"   22401";"  248224";"  142697";"  109260";"   71931";"   37329";"   34112";"   28195";"    5917";"    -675";"  105527";"   82566";"   22961"
"Current prices";"2007 3rd quarter";"  243757";"  150806";"   92951";"   70594";"   22357";"  243757";"  139615";"  106793";"   72477";"   34316";"   31829";"   26156";"    5673";"     993";"  104142";"   82405";"   21737"
"Current prices";"2007 4th quarter";"  270558";"  161020";"  109538";"   74319";"   35219";"  270558";"  156376";"  110825";"   72755";"   38070";"   45106";"   38608";"    6498";"     445";"  114182";"   89598";"   24584"
"Current prices";"2007";" 1001089";"  619170";"  381919";"  283423";"   98496";" 1001089";"  575252";"  430679";"  286818";"  143861";"  144226";"  120495";"   23731";"     347";"  425837";"  336377";"   89460"
"Current prices";"2008 1st quarter";"  256688";"  159551";"   97137";"   76187";"   20950";"  256688";"  143603";"  108537";"   72489";"   36048";"   35491";"   28929";"    6562";"    -425";"  113085";"   89767";"   23318"
"Current prices";"2008 2nd quarter";"  265844";"  164065";"  101779";"   77015";"   24764";"  265844";"  150843";"  114444";"   75046";"   39398";"   37528";"   30832";"    6696";"   -1129";"  115001";"   90023";"   24978"
"Current prices";"2008 3rd quarter";"  259733";"  158554";"  101179";"   77298";"   23881";"  259733";"  146574";"  111108";"   74828";"   36280";"   34184";"   28331";"    5853";"    1282";"  113159";"   89674";"   23485"
"Current prices";"2008 4th quarter";"  261447";"  165028";"   96419";"   71501";"   24918";"  261447";"  150989";"  113395";"   73070";"   40325";"   35938";"   29463";"    6475";"    1656";"  110458";"   84738";"   25720"
"Current prices";"2008";" 1043712";"  647198";"  396514";"  302001";"   94513";" 1043712";"  592009";"  447484";"  295433";"  152051";"  143141";"  117555";"   25586";"    1384";"  451703";"  354202";"   97501"
"Current prices";"2009 1st quarter";"  239710";"  156165";"   83545";"   61634";"   21911";"  239710";"  143803";"  109419";"   70937";"   38482";"   34808";"   28139";"    6669";"    -424";"   95907";"   72443";"   23464"
"Current prices";"2009 2nd quarter";"  240586";"  157462";"   83124";"   58283";"   24841";"  240586";"  146667";"  113699";"   71575";"   42124";"   35271";"   28384";"    6887";"   -2303";"   93919";"   69052";"   24867"
"Current prices";"2009 3rd quarter";"  235695";"  151694";"   84001";"   59870";"   24131";"  235695";"  140773";"  110645";"   71868";"   38777";"   31103";"   24491";"    6612";"    -975";"   94922";"   72094";"   22828"
"Current prices";"2009 4th quarter";"  250343";"  159521";"   90822";"   65173";"   25649";"  250343";"  146208";"  114213";"   71152";"   43061";"   31946";"   25138";"    6808";"      49";"  104135";"   78793";"   25342"
"Current prices";"2009";"  966334";"  624842";"  341492";"  244960";"   96532";"  966334";"  577451";"  447976";"  285532";"  162444";"  133128";"  106152";"   26976";"   -3653";"  388883";"  292382";"   96501"
"Current prices";"2010 1st quarter";"  246326";"  155314";"   91012";"   68163";"   22849";"  246326";"  141939";"  110551";"   70816";"   39735";"   31315";"   24896";"    6419";"      73";"  104387";"   80229";"   24158"
"Current prices";"2010 2nd quarter";"  262244";"  162424";"   99820";"   73931";"   25889";"  262244";"  151946";"  116273";"   72781";"   43492";"   33866";"   26870";"    6996";"    1807";"  110298";"   84168";"   26130"
"Current prices";"2010 3rd quarter";"  254591";"  156421";"   98170";"   71811";"   26359";"  254591";"  144164";"  113602";"   73542";"   40060";"   29340";"   22930";"    6410";"    1222";"  110427";"   85156";"   25271"
"Current prices";"2010 4th quarter";"  270522";"  165028";"  105494";"   78673";"   26821";"  270522";"  149458";"  117827";"   73370";"   44457";"   31377";"   24518";"    6859";"     254";"  121064";"   93439";"   27625"
"Current prices";"2010";" 1033683";"  639187";"  394496";"  292578";"  101918";" 1033683";"  587507";"  458253";"  290509";"  167744";"  125898";"   99214";"   26684";"    3356";"  446176";"  342992";"  103184"
"Current prices";"2011 1st quarter";"  267426";"  160242";"  107184";"   82050";"   25134";"  267426";"  145933";"  112553";"   72716";"   39837";"   33990";"   27134";"    6856";"    -610";"  121493";"   95632";"   25861"
"Current prices";"2011 2nd quarter";"  274800";"  165292";"  109508";"   82281";"   27227";"  274800";"  152799";"  118452";"   74998";"   43454";"   34478";"   27623";"    6855";"    -131";"  122001";"   94634";"   27367"
"Current prices";"2011 3rd quarter";"  266877";"  158947";"  107930";"   79806";"   28124";"  266877";"  146273";"  115195";"   75074";"   40121";"   29956";"   23500";"    6456";"    1122";"  120604";"   93694";"   26910"
"Current prices";"2011 4th quarter";"  276793";"  165878";"  110915";"   82912";"   28003";"  276793";"  149850";"  118325";"   74031";"   44294";"   32541";"   26113";"    6428";"   -1016";"  126943";"   98072";"   28871"
"Current prices";"2011";" 1085896";"  650359";"  435537";"  327049";"  108488";" 1085896";"  594855";"  464525";"  296819";"  167706";"  130965";"  104370";"   26595";"    -635";"  491041";"  382032";"  109009"
"Current prices";"2012 1st quarter";"  272523";"  160917";"  111606";"   86630";"   24976";"  272523";"  144508";"  113756";"   73423";"   40333";"   31369";"   25486";"    5883";"    -617";"  128015";"  101688";"   26327"
"Current prices";"2012 2nd quarter";"  281502";"  166442";"  115060";"   87174";"   27886";"  281502";"  152642";"  119098";"   75049";"   44049";"   32801";"   26746";"    6055";"     743";"  128860";"   99742";"   29118"
"Current prices";"2012 3rd quarter";"  271163";"  158404";"  112759";"   83787";"   28972";"  271163";"  144670";"  115538";"   74987";"   40551";"   28132";"   21737";"    6395";"    1000";"  126493";"   98444";"   28049"
"Current prices";"2012 4th quarter";"  283320";"  167203";"  116117";"   87298";"   28819";"  283320";"  147558";"  118720";"   73708";"   45012";"   30203";"   23829";"    6374";"   -1365";"  135762";"  105753";"   30009"
"Current prices";"2012";" 1108508";"  652966";"  455542";"  344889";"  110653";" 1108508";"  589378";"  467112";"  297167";"  169945";"  122505";"   97798";"   24707";"    -239";"  519130";"  405627";"  113503"
"Current prices";"2013 1st quarter";"  272824";"  161409";"  111415";"   86031";"   25384";"  272824";"  141508";"  114732";"   73583";"   41149";"   28583";"   22755";"    5828";"   -1807";"  131316";"  103509";"   27807"
"Current prices";"2013 2nd quarter";"  282778";"  168105";"  114673";"   86537";"   28136";"  282778";"  152307";"  119685";"   75507";"   44178";"   30740";"   24566";"    6174";"    1882";"  130471";"  100882";"   29589"
"Current prices";"2013 3rd quarter";"  275676";"  161493";"  114183";"   83504";"   30679";"  275676";"  146504";"  116868";"   76128";"   40740";"   28253";"   22012";"    6241";"    1383";"  129172";"   99100";"   30072"
"Current prices";"2013 4th quarter";"  289322";"  169456";"  119866";"   86929";"   32937";"  289322";"  152700";"  119482";"   75223";"   44259";"   33661";"   27591";"    6070";"    -443";"  136622";"  104073";"   32549"
"Current prices";"2013";" 1120600";"  660463";"  460137";"  343001";"  117136";" 1120600";"  593019";"  470767";"  300441";"  170326";"  121237";"   96924";"   24313";"    1015";"  527581";"  407564";"  120017"
"Current prices";"2014 1st quarter";"  278052";"  164432";"  113620";"   86384";"   27236";"  278052";"  145113";"  115972";"   74454";"   41518";"   29315";"   23543";"    5772";"    -174";"  132939";"  102731";"   30208"
"Current prices";"2014 2nd quarter";"  286894";"  169898";"  116996";"   86976";"   30020";"  286894";"  152884";"  121187";"   76597";"   44590";"   30358";"   24330";"    6028";"    1339";"  134010";"  101177";"   32833"
"Current prices";"2014 3rd quarter";"  280819";"  163863";"  116956";"   84906";"   32050";"  280819";"  146660";"  118309";"   76910";"   41399";"   27041";"   21081";"    5960";"    1310";"  134159";"  100565";"   33594"
"Current prices";"2014 4th quarter";"  292367";"  173367";"  119000";"   86812";"   32188";"  292367";"  152346";"  121241";"   76283";"   44958";"   31424";"   25654";"    5770";"    -319";"  140021";"  104532";"   35489"
"Current prices";"2014";" 1138132";"  671560";"  466572";"  345078";"  121494";" 1138132";"  597003";"  476709";"  304244";"  172465";"  118138";"   94608";"   23530";"    2156";"  541129";"  409005";"  132124"
"Current prices";"2015 1st quarter";"  282325";"  166535";"  115790";"   85968";"   29822";"  282325";"  138674";"  116575";"   75211";"   41364";"   23422";"   17315";"    6107";"   -1323";"  143651";"  103627";"   40024"
"Current prices";"2015 2nd quarter";"  329019";"  175441";"  153578";"   89529";"   64049";"  329019";"  187897";"  122947";"   78540";"   44407";"   63450";"   57272";"    6178";"    1500";"  141122";"  104950";"   36172"
"Current prices";"2015 3rd quarter";"  292918";"  170501";"  122417";"   86694";"   35723";"  292918";"  152952";"  120900";"   79231";"   41669";"   30136";"   24030";"    6106";"    1916";"  139966";"  103128";"   36838"
"Current prices";"2015 4th quarter";"  304340";"  177531";"  126809";"   90735";"   36074";"  304340";"  158726";"  122748";"   77834";"   44914";"   35525";"   29336";"    6189";"     453";"  145614";"  106668";"   38946"
"Current prices";"2015";" 1208602";"  690008";"  518594";"  352926";"  165668";" 1208602";"  638249";"  483170";"  310816";"  172354";"  152533";"  127953";"   24580";"    2546";"  570353";"  418373";"  151980"
"Current prices";"2016 1st quarter";"  287701";"  171335";"  116366";"   84438";"   31928";"  287701";"  151692";"  118407";"   76766";"   41641";"   34839";"   28802";"    6037";"   -1554";"  136009";"  102024";"   33985"
"Current prices";"2016 2nd quarter";"  303225";"  179918";"  123307";"   89256";"   34051";"  303225";"  163265";"  124403";"   79216";"   45187";"   37253";"   31159";"    6094";"    1609";"  139960";"  104006";"   35954"
"Current prices";"2016 3rd quarter";"  296905";"  174235";"  122670";"   87478";"   35192";"  296905";"  157691";"  122488";"   80229";"   42259";"   33192";"   26972";"    6220";"    2011";"  139214";"  103598";"   35616"
"Current prices";"2016 4th quarter";"  311550";"  182849";"  128701";"   94024";"   34677";"  311550";"  163356";"  125585";"   79830";"   45755";"   36391";"   30046";"    6345";"    1380";"  148194";"  111271";"   36923"
"Current prices";"2016";" 1199381";"  708337";"  491044";"  355196";"  135848";" 1199381";"  636004";"  490883";"  316041";"  174842";"  141675";"  116979";"   24696";"    3446";"  563377";"  420899";"  142478"
"Current prices";"2017 1st quarter";"  308710";"  178225";"  130485";"   96554";"   33931";"  308710";"  156828";"  121929";"   79262";"   42667";"   36345";"   30239";"    6106";"   -1446";"  151882";"  116146";"   35736"
"Current prices";"2017 2nd quarter";"  320503";"  187838";"  132665";"   96362";"   36303";"  320503";"  168752";"  128618";"   82297";"   46321";"   38187";"   32210";"    5977";"    1947";"  151751";"  112648";"   39103"
"Current prices";"2017 3rd quarter";"  315121";"  181702";"  133419";"   95099";"   38320";"  315121";"  163934";"  127059";"   83773";"   43286";"   35533";"   29027";"    6506";"    1342";"  151187";"  112527";"   38660"
"Current prices";"2017 4th quarter";"  329975";"  190381";"  139594";"  100811";"   38783";"  329975";"  169242";"  129146";"   81929";"   47217";"   38605";"   31782";"    6823";"    1491";"  160733";"  119449";"   41284"
"Current prices";"2017";" 1274309";"  738146";"  536163";"  388826";"  147337";" 1274309";"  658756";"  506752";"  327261";"  179491";"  148670";"  123258";"   25412";"    3334";"  615553";"  460770";"  154783"
"Current prices";"2018 1st quarter";"  325992";"  188022";"  137970";"  100677";"   37293";"  325992";"  167143";"  128251";"   83063";"   45188";"   39311";"   33147";"    6164";"    -419";"  158849";"  119502";"   39347"
"Current prices";"2018 2nd quarter";"  339821";"  196711";"  143110";"  102579";"   40531";"  339821";"  177546";"  134027";"   86071";"   47956";"   41489";"   35131";"    6358";"    2030";"  162275";"  119345";"   42930"
"Current prices";"2018 3rd quarter";"  335407";"  190249";"  145158";"  103205";"   41953";"  335407";"  170722";"  132690";"   86988";"   45702";"   36085";"   29434";"    6651";"    1947";"  164685";"  120989";"   43696"
"Current prices";"2018 4th quarter";"  346599";"  199005";"  147594";"  106849";"   40745";"  346599";"  176969";"  135203";"   85438";"   49765";"   41208";"   33922";"    7286";"     558";"  169630";"  125085";"   44545"
"Current prices";"2018";" 1347819";"  773987";"  573832";"  413310";"  160522";" 1347819";"  692380";"  530171";"  341560";"  188611";"  158093";"  131634";"   26459";"    4116";"  655439";"  484921";"  170518"
"Current prices";"2019 1st quarter";"  339821";"  197454";"  142367";"  105418";"   36949";"  339821";"  177020";"  133925";"   85908";"   48017";"   42240";"   35478";"    6762";"     855";"  162801";"  121491";"   41310"
"Current prices";"2019 2nd quarter";"  356348";"  207309";"  149039";"  107290";"   41749";"  356348";"  187739";"  140230";"   89087";"   51143";"   45057";"   38123";"    6934";"    2452";"  168609";"  121386";"   47223"
"Current prices";"2019 3rd quarter";"  349043";"  199813";"  149230";"  106418";"   42812";"  349043";"  182191";"  138464";"   89868";"   48596";"   41171";"   34301";"    6870";"    2556";"  166852";"  120654";"   46198"
"Current prices";"2019 4th quarter";"  359202";"  208479";"  150723";"  111057";"   39666";"  359202";"  186387";"  141062";"   88684";"   52378";"   44340";"   37328";"    7012";"     985";"  172815";"  126756";"   46059"
"Current prices";"2019";" 1404414";"  813055";"  591359";"  430183";"  161176";" 1404414";"  733337";"  553681";"  353547";"  200134";"  172808";"  145230";"   27578";"    6848";"  671077";"  490287";"  180790"
"Current prices";"2020 1st quarter";"  341512";"  200600";"  140912";"  102681";"   38231";"  341512";"  180120";"  136018";"   86041";"   49977";"   45406";"   38467";"    6939";"   -1304";"  161392";"  118544";"   42848"
"Current prices";"2020 2nd quarter";"  316410";"  191986";"  124424";"   89780";"   34644";"  316410";"  174658";"  130606";"   79009";"   51597";"   42642";"   35444";"    7198";"    1410";"  141752";"  101873";"   39879"
"Current prices";"2020 3rd quarter";"  332944";"  197099";"  135845";"   98756";"   37089";"  332944";"  177909";"  137280";"   86281";"   50999";"   40107";"   33038";"    7069";"     522";"  155035";"  114195";"   40840"
"Current prices";"2020 4th quarter";"  348868";"  206845";"  142023";"  106261";"   35762";"  348868";"  183639";"  139125";"   84159";"   54966";"   44782";"   36713";"    8069";"    -268";"  165229";"  124584";"   40645"
"Current prices";"2020";" 1339734";"  796530";"  543204";"  397478";"  145726";" 1339734";"  716326";"  543029";"  335490";"  207539";"  172937";"  143662";"   29275";"     360";"  623408";"  459196";"  164212"
"Current prices";"2021 1st quarter*";"  344111";"  203160";"  140951";"  107812";"   33139";"  344111";"  179574";"  133969";"   81629";"   52340";"   46001";"   38687";"    7314";"    -396";"  164537";"  127264";"   37273"
"Current prices";"2021 2nd quarter*";"  374486";"  220430";"  154056";"  118649";"   35407";"  374486";"  196343";"  147493";"   90657";"   56836";"   48094";"   40673";"    7421";"     756";"  178143";"  135732";"   42411"
"Current prices";"2021 3rd quarter*";"  382913";"  217899";"  165014";"  124277";"   40737";"  382913";"  195726";"  149796";"   94792";"   55004";"   42688";"   35392";"    7296";"    3242";"  187187";"  140942";"   46245"
"Current prices";"2021 4th quarter*";"  403308";"  229098";"  174210";"  137597";"   36613";"  403308";"  200966";"  153891";"   93832";"   60059";"   47622";"   39767";"    7855";"    -547";"  202342";"  157566";"   44776"
"Current prices";"2021";" 1504818";"  870587";"  634231";"  488335";"  145896";" 1504818";"  772609";"  585149";"  360910";"  224239";"  184405";"  154519";"   29886";"    3055";"  732209";"  561504";"  170705"
"Current prices";"2022 1st quarter*";"  402685";"  226933";"  175752";"  135240";"   40512";"  402685";"  200597";"  151883";"   95210";"   56673";"   48782";"   41426";"    7356";"     -68";"  202088";"  156076";"   46012"
"Current prices";"2022 2nd quarter*";"  444566";"  241615";"  202951";"  159014";"   43937";"  444566";"  218517";"  161864";"  101641";"   60223";"   52985";"   45633";"    7352";"    3668";"  226049";"  172547";"   53502"
"Current prices";"2022 3rd quarter*";"  444337";"  238450";"  205887";"  158440";"   47447";"  444337";"  215658";"  164414";"  105368";"   59046";"   46202";"   38597";"    7605";"    5042";"  228679";"  174321";"   54358"
"Current prices";"2022 4th quarter*";"  462169";"  251551";"  210618";"  168638";"   41980";"  462169";"  220324";"  173412";"  108854";"   64558";"   51899";"   43953";"    7946";"   -4987";"  241845";"  191953";"   49892"
"Current prices";"2022*";" 1753757";"  958549";"  795208";"  621332";"  173876";" 1753757";"  855096";"  651573";"  411073";"  240500";"  199868";"  169609";"   30259";"    3655";"  898661";"  694897";"  203764"
"Current prices";"2023 1st quarter*";"  442941";"  249558";"  193383";"  147166";"   46217";"  442941";"  221497";"  171603";"  110485";"   61118";"   53963";"   46377";"    7586";"   -4069";"  221444";"  171287";"   50157"
"Current prices";"2023 2nd quarter*";"  458851";"  262920";"  195931";"  147987";"   47944";"  458851";"  235922";"  178097";"  112647";"   65450";"   56911";"   49034";"    7877";"     914";"  222929";"  166211";"   56718"
"Current prices";"2023 3rd quarter*";"  440277";"  255242";"  185035";"  134901";"   50134";"  440277";"  227690";"  178660";"  113363";"   65297";"   48782";"   40514";"    8268";"     248";"  212587";"  157111";"   55476"
"Current prices";"2023 4th quarter*";"  455736";"  266366";"  189370";"  145524";"   43846";"  455736";"  234096";"  183108";"  113378";"   69730";"   52263";"   43918";"    8345";"   -1275";"  221640";"  170394";"   51246"
"Current prices";"2023*";" 1797805";" 1034086";"  763719";"  575578";"  188141";" 1797805";"  919205";"  711468";"  449873";"  261595";"  211919";"  179843";"   32076";"   -4182";"  878600";"  665003";"  213597"
"Current prices";"2024 1st quarter*";"  442984";"  265093";"  177891";"  130130";"   47761";"  442984";"  233162";"  182445";"  115504";"   66941";"   54496";"       .";"       .";"   -3779";"  209822";"  156564";"   53258"
