"Bron/techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik (TJ)";"Bruto eindverbruik relatief (% van totaal eindverbruik energie)"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2000";"   34689";"    1.62"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2001";"   36562";"    1.68"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2002";"   40076";"    1.85"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2003";"   40600";"    1.84"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2004";"   47422";"    2.04"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2005";"   57143";"    2.48"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2006";"   63478";"    2.78"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2007";"   74123";"    3.30"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2008";"   82081";"    3.60"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2009";"   93660";"    4.27"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2010";"   92411";"    3.92"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2011";"   99256";"    4.53"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2012";"  102676";"    4.66"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2013";"  103463";"    4.69"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2014";"  108835";"    5.42"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2015";"  117192";"    5.73"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2016";"  122177";"    5.84"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2017";"  136815";"    6.50"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2018";"  156304";"    7.39"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2019";"  184632";"    8.89"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2020";"  223015";"   11.47"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2021 ";"  259671";"   12.96"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2022 ";"  275716";"   14.90"
"Totaal hern. energie exc. stat. overdr.";"Totaal energietoepassingen";"2023 **";"  306157";"   17.15"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2000";"   34689";"    1.62"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2001";"   36562";"    1.68"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2002";"   40076";"    1.85"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2003";"   40600";"    1.84"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2004";"   47422";"    2.04"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2005";"   57143";"    2.48"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2006";"   63478";"    2.78"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2007";"   74123";"    3.30"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2008";"   82081";"    3.60"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2009";"   93660";"    4.27"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2010";"   92411";"    3.92"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2011";"   99256";"    4.53"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2012";"  102676";"    4.66"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2013";"  103463";"    4.69"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2014";"  108835";"    5.42"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2015";"  117192";"    5.73"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2016";"  122177";"    5.84"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2017";"  136815";"    6.50"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2018";"  156304";"    7.39"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2019";"  184632";"    8.89"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2020";"  272155";"   14.00"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2021 ";"  259671";"   12.96"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2022 ";"  275716";"   14.90"
"Totaal hern. energie inc. stat. overdr.";"Totaal energietoepassingen";"2023 **";"  306157";"   17.15"
"Statistische overdracht";"Totaal energietoepassingen";"2000";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2001";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2002";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2003";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2004";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2005";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2006";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2007";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2008";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2009";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2010";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2011";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2012";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2013";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2014";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2015";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2016";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2017";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2018";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2019";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2020";"   49140";"    2.53"
"Statistische overdracht";"Totaal energietoepassingen";"2021 ";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2022 ";"";""
"Statistische overdracht";"Totaal energietoepassingen";"2023 **";"";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2000";" 2139719";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2001";" 2177170";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2002";" 2164264";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2003";" 2203715";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2004";" 2328387";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2005";" 2300710";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2006";" 2284781";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2007";" 2247857";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2008";" 2282493";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2009";" 2195534";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2010";" 2359420";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2011";" 2192915";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2012";" 2203277";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2013";" 2205198";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2014";" 2009118";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2015";" 2046519";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2016";" 2091289";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2017";" 2104645";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2018";" 2116089";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2019";" 2077604";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2020";" 1944180";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2021 ";" 2004341";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2022 ";" 1850247";""
"Totaal, inclusief niet-hernieuwbaar";"Totaal energietoepassingen";"2023 **";" 1784713";""
"Waterkracht";"Totaal energietoepassingen";"2000";"     362";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2001";"     367";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2002";"     369";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2003";"     361";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2004";"     360";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2005";"     361";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2006";"     361";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2007";"     358";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2008";"     360";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2009";"     360";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2010";"     364";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2011";"     358";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2012";"     361";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2013";"     362";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2014";"     367";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2015";"     355";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2016";"     351";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2017";"     339";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2018";"     340";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2019";"     334";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2020";"     324";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2021 ";"     326";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2022 ";"     312";"    0.02"
"Waterkracht";"Totaal energietoepassingen";"2023 **";"     304";"    0.02"
"Totaal windenergie";"Totaal energietoepassingen";"2000";"    2678";"    0.13"
"Totaal windenergie";"Totaal energietoepassingen";"2001";"    2958";"    0.14"
"Totaal windenergie";"Totaal energietoepassingen";"2002";"    3672";"    0.17"
"Totaal windenergie";"Totaal energietoepassingen";"2003";"    4892";"    0.22"
"Totaal windenergie";"Totaal energietoepassingen";"2004";"    6347";"    0.27"
"Totaal windenergie";"Totaal energietoepassingen";"2005";"    7321";"    0.32"
"Totaal windenergie";"Totaal energietoepassingen";"2006";"    9145";"    0.40"
"Totaal windenergie";"Totaal energietoepassingen";"2007";"   11396";"    0.51"
"Totaal windenergie";"Totaal energietoepassingen";"2008";"   14131";"    0.62"
"Totaal windenergie";"Totaal energietoepassingen";"2009";"   16131";"    0.73"
"Totaal windenergie";"Totaal energietoepassingen";"2010";"   16210";"    0.69"
"Totaal windenergie";"Totaal energietoepassingen";"2011";"   17010";"    0.78"
"Totaal windenergie";"Totaal energietoepassingen";"2012";"   17780";"    0.81"
"Totaal windenergie";"Totaal energietoepassingen";"2013";"   19324";"    0.88"
"Totaal windenergie";"Totaal energietoepassingen";"2014";"   20914";"    1.04"
"Totaal windenergie";"Totaal energietoepassingen";"2015";"   24900";"    1.22"
"Totaal windenergie";"Totaal energietoepassingen";"2016";"   30110";"    1.44"
"Totaal windenergie";"Totaal energietoepassingen";"2017";"   34710";"    1.65"
"Totaal windenergie";"Totaal energietoepassingen";"2018";"   36106";"    1.71"
"Totaal windenergie";"Totaal energietoepassingen";"2019";"   38784";"    1.87"
"Totaal windenergie";"Totaal energietoepassingen";"2020";"   50215";"    2.58"
"Totaal windenergie";"Totaal energietoepassingen";"2021 ";"   68394";"    3.41"
"Totaal windenergie";"Totaal energietoepassingen";"2022 ";"   77054";"    4.16"
"Totaal windenergie";"Totaal energietoepassingen";"2023 **";"   96674";"    5.42"
"Windenergie op land";"Totaal energietoepassingen";"2000";"    2678";"    0.13"
"Windenergie op land";"Totaal energietoepassingen";"2001";"    2958";"    0.14"
"Windenergie op land";"Totaal energietoepassingen";"2002";"    3672";"    0.17"
"Windenergie op land";"Totaal energietoepassingen";"2003";"    4892";"    0.22"
"Windenergie op land";"Totaal energietoepassingen";"2004";"    6347";"    0.27"
"Windenergie op land";"Totaal energietoepassingen";"2005";"    7321";"    0.32"
"Windenergie op land";"Totaal energietoepassingen";"2006";"    8917";"    0.39"
"Windenergie op land";"Totaal energietoepassingen";"2007";"   10304";"    0.46"
"Windenergie op land";"Totaal energietoepassingen";"2008";"   12154";"    0.53"
"Windenergie op land";"Totaal energietoepassingen";"2009";"   13543";"    0.62"
"Windenergie op land";"Totaal energietoepassingen";"2010";"   13455";"    0.57"
"Windenergie op land";"Totaal energietoepassingen";"2011";"   14336";"    0.65"
"Windenergie op land";"Totaal energietoepassingen";"2012";"   14963";"    0.68"
"Windenergie op land";"Totaal energietoepassingen";"2013";"   16676";"    0.76"
"Windenergie op land";"Totaal energietoepassingen";"2014";"   18215";"    0.91"
"Windenergie op land";"Totaal energietoepassingen";"2015";"   21174";"    1.03"
"Windenergie op land";"Totaal energietoepassingen";"2016";"   21748";"    1.04"
"Windenergie op land";"Totaal energietoepassingen";"2017";"   22560";"    1.07"
"Windenergie op land";"Totaal energietoepassingen";"2018";"   23681";"    1.12"
"Windenergie op land";"Totaal energietoepassingen";"2019";"   26743";"    1.29"
"Windenergie op land";"Totaal energietoepassingen";"2020";"   32264";"    1.66"
"Windenergie op land";"Totaal energietoepassingen";"2021 ";"   37635";"    1.88"
"Windenergie op land";"Totaal energietoepassingen";"2022 ";"   46644";"    2.52"
"Windenergie op land";"Totaal energietoepassingen";"2023 **";"   56762";"    3.18"
"Windenergie op zee";"Totaal energietoepassingen";"2000";"";""
"Windenergie op zee";"Totaal energietoepassingen";"2001";"";""
"Windenergie op zee";"Totaal energietoepassingen";"2002";"";""
"Windenergie op zee";"Totaal energietoepassingen";"2003";"";""
"Windenergie op zee";"Totaal energietoepassingen";"2004";"";""
